video,sr_auc,sr_nss,sr_kl,sr_cc,sr_sim,bms_auc,bms_nss,bms_kl,bms_cc,bms_sim,sr_rgb_auc,sr_rgb_nss,sr_rgb_kl,sr_rgb_cc,sr_rgb_sim,bms_rgb_auc,bms_rgb_nss,bms_rgb_kl,bms_rgb_cc,bms_rgb_sim,sr_time,bms_time,sr_rgb_time,bms_rgb_time
Kicking-Front-001,0.726370600696567,1.1840751331697008,3.7255923432039193,0.2727345981035531,0.29797358323319784,0.6317566907392099,0.5995379937205475,9.146943927674855,0.16488075768532626,0.19350481376866424,0.7050969635416076,0.5672388090391037,2.3882236576284837,0.1507033596880599,0.23088537553005425,0.8126988466618504,1.2362565078480452,5.1039655747064145,0.2844322827878068,0.289041346107428,0.0034250815709431968,0.049314141273498535,0.00033462047576904297,0.0414274533589681
Kicking-Front-002,0.8281372636421853,1.3008034257824261,1.9650206525925913,0.30683733089533144,0.29911222707598273,0.7622953341051125,0.6639418465986439,6.399354418701975,0.1849034870542341,0.21163017759476843,0.7012032001328609,0.49520547600237874,2.2908015558952894,0.11045561727663962,0.2039605345142822,0.7099701122219065,0.5461630583183644,5.8211220789734455,0.11075874964828884,0.19305881321958251,0.003420074780782064,0.048945069313049316,0.0005001624425252279,0.04207416375478109
Kicking-Front-003,0.8726702908264142,1.5720199649260629,3.1463369759266526,0.16637360120933778,0.1839940058966468,0.6516347356442295,0.6344566341382837,11.365110622655626,0.08532353654051382,0.11326683204106856,0.8849289962546595,2.107319651387891,2.3103424542538673,0.26575071751014673,0.2167587366900433,0.8085414820224482,2.127879384624282,9.077040553321083,0.21388596711965813,0.1895093404888947,0.0065087080001831055,0.11662010351816814,0.000751654307047526,0.09330928325653076
Kicking-Front-004,0.9021303587569012,1.9419218210271365,2.1493345345367785,0.3671819895009906,0.31178022740850836,0.7785233246457235,0.8756140412308347,8.903586315238796,0.2049490230471757,0.19950934741211082,0.9119033955454826,2.4804186183627643,1.6021275568636497,0.416464035331648,0.2988425492903047,0.7721529543424491,1.6648250961532274,6.096762163865091,0.3054426955226906,0.2260471238121208,0.005108078320821126,0.08132974306742351,0.0010010401407877605,0.06917194525400798
Kicking-Front-005,0.6594470923885166,0.6460637606503665,2.65383434959552,0.1927016811071985,0.21543816660535123,0.5664998555692434,0.48010282713243585,5.931105922850964,0.12452677671076627,0.16600067133813187,0.6490139803191457,0.5832025254667478,2.4860088579912945,0.14400925888612173,0.19040400316706566,0.7134587411845437,1.0100664900080154,4.239100401935455,0.22326089772063074,0.2192954218349945,0.004806081453959147,0.07994194825490315,0.0006665388743082682,0.07162928581237793
Kicking-Front-006,0.7492528180606128,1.1494022942882298,4.938339264977511,0.23431104788063425,0.2205428899887748,0.6807168861066981,0.6170660461989007,10.093900676922289,0.11033265930218168,0.1328427085332139,0.7058109269158966,0.8905067713241491,2.735083617413453,0.16600703487255655,0.1696851356193082,0.6713641135846796,0.850094518436384,7.837985828752028,0.14095960077521513,0.15032302094811537,0.007601817448933919,0.12230471769968669,0.0010013977686564128,0.09944649537404378
Lifting-001,0.9177382581021952,2.331994127974125,1.5179660002575122,0.44793871092378884,0.36036466652786986,0.8528004175391359,1.7649033700494492,4.960083651593153,0.3052395224400543,0.26729425026495757,0.8868006731903241,2.5070707239004206,1.7892571903299797,0.4196607333413681,0.25279669394792986,0.8545828916341384,1.6395009317762026,4.083664584138403,0.297505985848324,0.27923150159211446,0.004816506590162005,0.07949286699295044,0.0006609559059143066,0.06962510517665318
Lifting-002,0.8867125053162256,1.9708621848788812,1.7531128770529385,0.4285160489044942,0.366162095891537,0.7755089760131757,1.8908025511106312,6.638165395508397,0.28367252682620764,0.24743685546787914,0.788511033554241,1.0121763346840846,1.9442939310361687,0.22620641586106907,0.2232102083584526,0.8233892794734378,1.1629610101271106,3.945286949090925,0.25803077319820966,0.2577022412259792,0.004662266799381801,0.07589422804968697,0.0006785563060215541,0.0650045360837664
Riding-Horse-001,0.8785869934258936,2.270131193997464,2.6432051998053767,0.5026319854563474,0.42749913248086474,0.8071072050120501,1.4611092829026249,6.645336676896985,0.3467845210771332,0.298137875842808,0.8435996111075686,1.6878348866395647,1.8816480410332763,0.36158626186648635,0.23241254047028198,0.630516726448406,0.259351608734095,6.825154291723425,0.07756247282754145,0.13763530873093943,0.004471747080485026,0.07167460123697916,0.0007002512613932292,0.06352906227111817
Riding-Horse-002,0.8155121802400699,1.5824799823302238,3.630097028957515,0.41891027309920426,0.3916485888551811,0.7759152410156245,1.1149120578350913,8.037442810742043,0.2618285555567969,0.24118817972862655,0.8144843714294859,1.4736892811193583,1.620461572477379,0.3471152800020026,0.29745797481740344,0.6081598157621461,0.1374596768116496,7.0990039958759334,0.03942715518486363,0.15162257164692547,0.004924154281616211,0.07132139205932617,0.0006007353464762369,0.06208518346150716
Riding-Horse-003,0.8351412424029532,1.505297385736476,3.422895228675601,0.37087763425516346,0.3566012780192108,0.7849449430555608,1.2230213297308719,7.802144549844346,0.2611411195756335,0.24315024830329482,0.860223174444441,1.6088973661539228,1.57293402712425,0.3866561940424292,0.3161280479506036,0.6455525320294427,0.4855439035216682,6.311335380858248,0.1557865789237992,0.21291097988041888,0.004633394877115885,0.07040341695149739,0.0006664594014485677,0.06251713434855143
Riding-Horse-004,0.8127295871209862,1.3791266978894403,3.942971568712154,0.3519102456471665,0.3630549347963568,0.7460692125839935,0.8794776084572284,8.608160857225686,0.22213365058547374,0.22186339260361568,0.829205100303592,1.3569503101217713,1.6081263533260217,0.32964193461520125,0.31125371604452595,0.6212356954242693,0.5196126370457467,7.586739050587594,0.1016699342437672,0.1729252489287181,0.004495461781819661,0.06942327817281087,0.0004669030507405599,0.06489019393920899
Run-Side-001,0.8002775433338006,3.348167648087515,6.705531997014551,0.5545287063818793,0.3590823242875975,0.6771168247185415,3.767518272322265,13.07755435934101,0.4018606097556154,0.15630794068627774,0.8782072280962789,2.842990975022931,1.5904081165133224,0.4672038931864316,0.30973199891290276,0.7025660586355276,0.6476926005347963,9.045393181168937,0.09481440952399026,0.15506530591255024,0.004656657576560974,0.07394644618034363,0.0004999786615371704,0.06186725199222565
Run-Side-002,0.7332286009704855,0.8368246459486628,2.504482315667279,0.1834200033693543,0.2015335144089332,0.576857511875499,0.12402987095914081,7.614730209798289,0.07788805247291934,0.14387365887006756,0.8398739206525319,1.6621688850791194,1.85213103873694,0.3397657197032752,0.29881078837872005,0.7141529684768422,1.1033661986061094,8.447099478260276,0.24387839880945184,0.23317962227174682,0.006689414381980896,0.1075633317232132,0.0004372149705886841,0.08265557885169983
Run-Side-003,0.8267014755862523,1.5035752202433297,1.9163655158164006,0.3638070431902566,0.3180367306989997,0.6552079458390133,0.31910703701801735,6.181778896969877,0.09087854469788954,0.15377649972773724,0.8545366871159377,1.90827217243677,1.7010832581493098,0.3976751232586531,0.335542298980837,0.676574784727032,0.8738617162408504,9.003257485569055,0.19308895519705618,0.21838690031695948,0.006500229239463806,0.10911235213279724,0.0008113086223602295,0.08391183614730835
